id,nome,email,telefono,citta,provincia,status,subscription_plan,subscription_status,created_at,updated_at,sanity_id,anno_fondazione,descrizione,dimensione,facebook,instagram,youtube,immagini_officina,immagini_showroom,marchi_trattati,moto_disponibili,orari_apertura,partita_iva,pec,regione,servizi,specializzazione,tipo_concessionario,via,video_presentazione,recensioni,is_attivo,data_iscrizione,user_id
1c38d5fe-036d-4c27-8c70-788b72719c68,Moto Express Firenze,info@motoexpressfirenze.it,+39 055 1234567,Firenze,FI,pending,basic,inactive,2025-10-06 17:52:39.408173+00,2025-10-06 17:52:39.408173+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
3eb7354b-6f0a-4f6b-ae04-ae6af75ece20,Speed Moto Napoli,info@speedmotonapoli.it,+39 081 1234567,Napoli,NA,pending,basic,inactive,2025-10-06 17:52:38.487138+00,2025-10-06 17:52:38.487138+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
87562bdf-42ba-4658-b9fa-79918d500322,Bike Center Genova,info@bikecentergenova.it,+39 010 7654321,Genova,GE,pending,basic,inactive,2025-10-06 17:52:38.066598+00,2025-10-06 17:52:38.066598+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
942eedf9-514c-46f8-9972-61bc19dc0dfb,Bike Center Milano,info@bikecentermilano.it,+39 02 1234567,Milano,MI,pending,basic,inactive,2025-10-06 17:52:36.834801+00,2025-10-06 17:52:36.834801+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
aa7be28d-d8db-4d86-8d3f-e296c86f86ba,Speed Bike Bologna,info@speedbikebologna.it,+39 051 1234567,Bologna,BO,pending,basic,inactive,2025-10-06 17:52:38.307313+00,2025-10-06 17:52:38.307313+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
ae92d88e-d98d-470f-b0e3-722c180705a4,Luca Giardina,info@webclinic.it,+39 010 1234567,Genova,GE,pending,basic,inactive,2025-10-06 17:52:33.672877+00,2025-10-06 17:52:33.672877+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
b43053ab-6e07-44de-b3d9-0244447edfc7,Moto Sport Venezia,info@motosportvenezia.it,+39 041 1234567,Venezia,VE,pending,basic,inactive,2025-10-06 17:52:38.662945+00,2025-10-06 17:52:38.662945+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
ba80cebb-42df-41c8-998d-f957bc0c543b,Moto Roma Nord,info@motoromanord.it,+39 06 1234567,Roma,RM,pending,basic,inactive,2025-10-06 17:52:35.732266+00,2025-10-06 17:52:35.732266+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
e1156ec4-cf00-4bf5-be0e-f38fb72df671,GEMOTORS,luca.giardina1980@gmail.com,+39 020 1234567,Londra,LDN,pending,basic,inactive,2025-10-06 17:52:35.100223+00,2025-10-10 01:28:52.027027+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,37fb843c-0f47-472f-beec-738c503372fa
f24059a4-2d69-4ba0-83a7-c48ada31f502,MotoSport Roma,info@motosportroma.it,+39 06 7654321,Roma,RM,pending,basic,inactive,2025-10-06 17:52:37.553615+00,2025-10-06 17:52:37.553615+00,,,,,,,,,,,,,,,,,,,,,,true,2025-10-06,
